"id","instrument_id","open","close","low","high","volume","open_interest","datetime","net_diff","obi_max","obi_min","amom_sum","wall_ask","wall_bid"
"4364","ru2609","17810","17815","17810","17815","288","205289","2026-05-11 22:59:00","-57","0","-0.1954","0","[]","[]"
"4365","ru2609","17810","17810","17805","17815","769","205015","2026-05-11 23:00:00","54","0","-0.3022","25","[]","[]"
"4366","ru2609","17820","17845","17815","17855","2461","205113","2026-05-12 09:01:00","154","0.1033","-0.384","-33","[]","[]"
"4367","ru2609","17840","17870","17840","17880","3649","204848","2026-05-12 09:02:00","436","0.1165","-0.3123","-142","[]","[]"
"4368","ru2609","17865","17845","17840","17875","2655","204932","2026-05-12 09:03:00","4","0.1662","-0.2136","-12","[]","[]"
"4369","ru2609","17845","17865","17840","17865","1218","205016","2026-05-12 09:04:00","-65","0.1958","-0.1973","-94","[]","[]"
"4370","ru2609","17865","17870","17855","17870","1288","205222","2026-05-12 09:05:00","155","0","-0.2296","33","[]","[]"
"4371","ru2609","17870","17895","17870","17905","3021","205571","2026-05-12 09:06:00","350","0.2065","-0.1858","241","[]","[]"
"4372","ru2609","17895","17905","17890","17910","2147","205832","2026-05-12 09:07:00","248","0.1285","-0.1991","117","[]","[]"
"4373","ru2609","17905","17885","17880","17905","2117","205665","2026-05-12 09:08:00","-783","0.0519","-0.2389","50","[]","[]"
"4374","ru2609","17880","17890","17875","17890","1024","205753","2026-05-12 09:09:00","-35","0.0168","-0.2103","56","[]","[]"
"4375","ru2609","17890","17895","17890","17900","1161","205922","2026-05-12 09:10:00","178","0.0131","-0.2872","215","[]","[]"
"4376","ru2609","17895","17890","17885","17900","759","205922","2026-05-12 09:11:00","14","0.039","-0.2187","38","[]","[]"
"4377","ru2609","17895","17895","17885","17900","629","205951","2026-05-12 09:12:00","133","0","-0.2269","48","[]","[]"
"4378","ru2609","17890","17905","17890","17905","972","206116","2026-05-12 09:13:00","252","0","-0.1961","-13","[]","[]"
"4379","ru2609","17905","17900","17895","17920","1868","206247","2026-05-12 09:14:00","-321","0.0215","-0.2805","-35","[]","[]"
"4380","ru2609","17895","17890","17890","17900","542","206369","2026-05-12 09:15:00","-54","0.0776","-0.159","-88","[]","[]"
"4381","ru2609","17890","17880","17875","17890","1427","206299","2026-05-12 09:16:00","11","0.1525","-0.1696","17","[]","[]"
"4382","ru2609","17880","17870","17865","17885","1843","206428","2026-05-12 09:17:00","-271","0.1581","-0.2071","-165","[]","[]"
"4383","ru2609","17865","17865","17850","17870","1535","206302","2026-05-12 09:18:00","-250","0.1799","-0.1069","-13","[]","[]"
"4384","ru2609","17865","17865","17850","17865","826","206285","2026-05-12 09:19:00","151","0.2902","0","29","[]","[]"
"4385","ru2609","17865","17860","17855","17870","716","206160","2026-05-12 09:20:00","-5","0.37","0","-21","[]","[]"
"4386","ru2609","17860","17860","17855","17865","242","206133","2026-05-12 09:21:00","20","0.3004","0","0","[]","[]"
"4387","ru2609","17865","17870","17860","17870","486","206102","2026-05-12 09:22:00","0","0.2884","0","42","[]","[]"
"4388","ru2609","17865","17855","17855","17865","462","206026","2026-05-12 09:23:00","-136","0.3251","0","-3","[]","[]"
"4389","ru2609","17855","17855","17850","17860","682","205997","2026-05-12 09:24:00","-202","0.2611","0","-20","[]","[]"
"4390","ru2609","17850","17850","17845","17860","1380","205973","2026-05-12 09:25:00","-223","0.1842","-0.0894","158","[]","[]"
"4391","ru2609","17855","17860","17850","17865","603","205985","2026-05-12 09:26:00","28","0.2195","0","-20","[]","[]"
"4392","ru2609","17860","17850","17845","17860","892","206023","2026-05-12 09:27:00","-180","0.2077","-0.0573","-37","[]","[]"
"4393","ru2609","17850","17870","17850","17870","660","205934","2026-05-12 09:28:00","53","0.1938","-0.0641","18","[]","[]"
"4394","ru2609","17870","17880","17865","17880","878","205974","2026-05-12 09:29:00","-66","0.1343","-0.1697","61","[]","[]"
"4395","ru2609","17880","17895","17880","17895","1334","206141","2026-05-12 09:30:00","110","0.0466","-0.282","-2","[]","[]"
"4396","ru2609","17895","17890","17890","17900","1063","206211","2026-05-12 09:31:00","183","0.058","-0.271","59","[]","[]"
"4397","ru2609","17895","17905","17890","17905","909","206279","2026-05-12 09:32:00","123","0.0483","-0.2135","1","[]","[]"
"4398","ru2609","17900","17920","17900","17930","2969","206566","2026-05-12 09:33:00","293","0","-0.4483","37","[]","[]"
"4399","ru2609","17925","17900","17900","17925","1646","206612","2026-05-12 09:34:00","-65","0.0342","-0.3918","-80","[]","[]"
"4400","ru2609","17900","17905","17885","17910","1186","206655","2026-05-12 09:35:00","29","0.0695","-0.1654","108","[]","[]"
"4401","ru2609","17905","17900","17900","17910","463","206699","2026-05-12 09:36:00","0","0.1649","-0.1117","0","[]","[]"
"4402","ru2609","17900","17880","17875","17900","1063","206495","2026-05-12 09:37:00","-121","0.1474","-0.0987","-25","[]","[]"
"4403","ru2609","17880","17875","17870","17885","879","206472","2026-05-12 09:38:00","75","0.202","-0.0864","-27","[]","[]"
"4404","ru2609","17880","17880","17875","17885","412","206466","2026-05-12 09:39:00","-60","0.2259","0","0","[]","[]"
"4405","ru2609","17880","17885","17880","17885","376","206443","2026-05-12 09:40:00","0","0.1766","0","0","[]","[]"
"4406","ru2609","17880","17870","17860","17880","961","206465","2026-05-12 09:41:00","60","0.1786","-0.0945","-123","[]","[]"
"4407","ru2609","17870","17870","17855","17875","822","206579","2026-05-12 09:42:00","23","0.3553","0","-46","[]","[]"
